cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
Microglia,ENSMUSG00000040613,Apobec1,0.5818330605564648,2.341701415758516,0.7955411022693046
Microglia,ENSMUSG00000028864,Hgf,0.057283142389525366,0.11991216603028783,0.794413291209857
Microglia,ENSMUSG00000029771,Irf5,0.1579378068739771,0.3543346676741981,0.7941002338554031
Microglia,ENSMUSG00000021575,Ahrr,0.07037643207855974,0.163070148254023,0.7924238108781282
Microglia,ENSMUSG00000032750,Gab3,0.3314238952536825,1.0580305911679877,0.7917686541089527
Microglia,ENSMUSG00000034959,Rubcnl,0.05237315875613748,0.13322314015317022,0.7907308850812903
Microglia,ENSMUSG00000032000,Birc3,0.11865793780687398,0.2606436106658866,0.7905846806471755
Microglia,ENSMUSG00000038151,Prdm1,0.09574468085106383,0.21255971961004802,0.7902062825628403
Microglia,ENSMUSG00000028459,Cd72,0.07364975450081833,0.19245940058085548,0.7874936991420909
Microglia,ENSMUSG00000051212,Gpr183,0.06710310965630115,0.16572505667144885,0.7831963345280593
Microglia,ENSMUSG00000035004,Igsf6,0.12520458265139117,0.28833395469722434,0.7810274081004867
Microglia,ENSMUSG00000064267,Hvcn1,0.06382978723404255,0.13660565508281478,0.7780168804738025
Microglia,ENSMUSG00000030798,Cd37,0.060556464811783964,0.1280879642519602,0.7767503939180875
Microglia,ENSMUSG00000024696,Lpxn,0.13747954173486088,0.31572609245041733,0.7757259882317795
Microglia,ENSMUSG00000064373,Selenop,0.7250409165302782,4.461534694104219,0.7755973297328095
Microglia,ENSMUSG00000004266,Ptpn6,0.10965630114566285,0.24438921875675126,0.7754999982711163
Microglia,ENSMUSG00000029816,Gpnmb,0.544189852700491,4.930540831115847,0.7740362598940663
Microglia,ENSMUSG00000056413,Adap1,0.06137479541734861,0.12822336452120806,0.773345125420203
Microglia,ENSMUSG00000034330,Plcg2,0.26759410801963995,0.6749337456528839,0.770517482721557
Microglia,ENSMUSG00000055069,Rab39,0.07528641571194762,0.18988266038553342,0.7698976752233897
Microglia,ENSMUSG00000035158,Mitf,0.7332242225859247,3.9009890216493117,0.7680366527788538
Microglia,ENSMUSG00000020120,Plek,0.33878887070376434,1.1671393595905646,0.7643733890643892
Microglia,ENSMUSG00000019838,Slc16a10,0.22667757774140754,0.6184129162173697,0.7603010383544497
Microglia,ENSMUSG00000034438,Gbp8,0.18166939443535188,0.46206359715955064,0.7594755955622192
Microglia,ENSMUSG00000033192,Lpcat2,0.4967266775777414,1.6658277427298502,0.7573868135323494
Microglia,ENSMUSG00000026170,Cyp27a1,0.07037643207855974,0.15037403271492178,0.7492703174590347
Microglia,ENSMUSG00000000958,Slc7a7,0.18003273322422259,0.44234171563983704,0.7487298915342331
Microglia,ENSMUSG00000027199,Gatm,0.08019639934533551,0.17460733675690526,0.7458145878941018
Microglia,ENSMUSG00000029217,Tec,0.3060556464811784,0.8804199220412939,0.7455875496597641
Microglia,ENSMUSG00000024053,Emilin2,0.060556464811783964,0.13170349649199614,0.7449943600981543
Microglia,ENSMUSG00000037902,Sirpa,0.6219312602291326,2.466982390696325,0.7448960884507592
Microglia,ENSMUSG00000014361,Mertk,0.4574468085106383,1.6506350844016728,0.7447408936875901
Microglia,ENSMUSG00000037860,Aim2,0.15711947626841244,0.3361709461181925,0.7444315703586162
Microglia,ENSMUSG00000033538,Casp4,0.05155482815057283,0.09887550235400244,0.7424447768974294
Microglia,ENSMUSG00000038910,Plcl2,0.4328968903436989,1.3307546825311423,0.7423700309535195
Microglia,ENSMUSG00000056069,Otulinl,0.1955810147299509,0.4746537895399258,0.7387285534847555
Microglia,ENSMUSG00000034652,Cd300a,0.1530278232405892,0.3671147770435948,0.733188945079644
Microglia,ENSMUSG00000052889,Prkcb,0.6317512274959084,2.5768091467644667,0.7280292771067769
Microglia,ENSMUSG00000034422,Parp14,0.11702127659574468,0.2790842180763174,0.7275682418432896
Microglia,ENSMUSG00000027452,Acss1,0.07201309328968904,0.1506603711716482,0.7251900287307389
Microglia,ENSMUSG00000040710,St8sia4,0.30523731587561376,1.0915553484457197,0.7239123753452275
Microglia,ENSMUSG00000038608,Dock10,0.5106382978723404,1.9128761375065577,0.723836777774544
Microglia,ENSMUSG00000042190,Cmklr1,0.16448445171849427,0.42915025236442084,0.7230385425537675
Microglia,ENSMUSG00000005583,Mef2c,0.5777414075286416,2.6159474546242176,0.7199292013600287
Microglia,ENSMUSG00000039853,Trim14,0.058919803600654665,0.11345359098907071,0.7178612606966068
Microglia,ENSMUSG00000074622,Mafb,0.309328968903437,0.8902809348334257,0.7176043488155253
Microglia,ENSMUSG00000017631,Abr,0.5990180032733224,2.6581942256374327,0.7170934316996844
Microglia,ENSMUSG00000034255,Arhgap27,0.08183306055646482,0.1834221265353379,0.716992443510155
Microglia,ENSMUSG00000031662,Snx20,0.05810147299509002,0.13089541270381957,0.7160764167265707
Microglia,ENSMUSG00000028268,Gbp3,0.057283142389525366,0.12420769414480014,0.7143950674432857
Microglia,ENSMUSG00000032698,Lmo2,0.10965630114566285,0.22404860568016324,0.7139902871233257
Microglia,ENSMUSG00000026480,Ncf2,0.2528641571194763,0.6431333509087104,0.7094178667186763
Microglia,ENSMUSG00000025429,Pstpip2,0.09165302782324058,0.2071911000869993,0.7088243771486409
Microglia,ENSMUSG00000026222,Sp100,0.09574468085106383,0.20811621887497544,0.7064443169820608
Microglia,ENSMUSG00000001128,Cfp,0.1039279869067103,0.23675994206445644,0.6953952524210172
Microglia,ENSMUSG00000027995,Tlr2,0.058919803600654665,0.11349517423474398,0.693316337833747
Microglia,ENSMUSG00000021190,Lgmn,0.7225859247135843,3.7351116442278274,0.6906117427700523
Microglia,ENSMUSG00000029304,Spp1,0.35433715220949263,1.9014053165290097,0.6868509908957199
Microglia,ENSMUSG00000021200,Asb2,0.09247135842880523,0.23974337069553778,0.6848546130907731
Microglia,ENSMUSG00000021720,Rnf180,0.33060556464811786,0.9554236809440695,0.6833906751721859
Microglia,ENSMUSG00000025314,Ptprj,0.806873977086743,5.805507911558767,0.6828605788147678
Microglia,ENSMUSG00000061175,Fnip2,0.5032733224222586,2.1877032724986196,0.6811120567980464
Microglia,ENSMUSG00000030844,Rgs10,0.2225859247135843,0.5187641133195607,0.6780458367725113
Microglia,ENSMUSG00000091119,Ccdc152,0.19230769230769232,0.48445783131763215,0.6760990556515704
Microglia,ENSMUSG00000027339,Rassf2,0.07774140752864157,0.1679616311299156,0.6755612261862147
Microglia,ENSMUSG00000020806,Rhbdf2,0.06546644844517185,0.12451027167234954,0.6752601417774867
Microglia,ENSMUSG00000031389,Arhgap4,0.05973813420621931,0.11406529666549897,0.6634707319701636
Microglia,ENSMUSG00000050335,Lgals3,0.281505728314239,0.9030556971030123,0.6623694475044715
Microglia,ENSMUSG00000037921,Ddx60,0.062193126022913256,0.13338709414967972,0.6569121757867957
Microglia,ENSMUSG00000030560,Ctsc,0.5474631751227496,2.390559957344091,0.6551952032280601
Microglia,ENSMUSG00000054520,Sh3bp2,0.11947626841243862,0.26624569389904307,0.6541716655413048
Microglia,ENSMUSG00000041112,Elmo1,0.679214402618658,3.1622900510934953,0.6527765479678633
Microglia,ENSMUSG00000053158,Fes,0.10801963993453355,0.2514952717905224,0.6509333565861691
Microglia,ENSMUSG00000048897,Zfp710,0.31342062193126025,0.8060322592620639,0.6507092088416583
Microglia,ENSMUSG00000034947,Tmem106a,0.06792144026186579,0.14889077651411534,0.6506102058719336
Microglia,ENSMUSG00000060512,0610040J01Rik,0.058919803600654665,0.14389913845822075,0.6443032191707798
Microglia,ENSMUSG00000036833,Pnpla7,0.28314238952536824,0.7358017070059781,0.643711006335431
Microglia,ENSMUSG00000036469,March1,0.5842880523731587,2.4955597073586757,0.6408186663009243
Microglia,ENSMUSG00000025993,Slc40a1,0.18003273322422259,0.5320155473881216,0.63985714641183
Microglia,ENSMUSG00000045404,Kcnk13,0.27986906710310966,0.703151440319998,0.6386864864712523
Microglia,ENSMUSG00000029470,P2rx4,0.2864157119476268,0.7237261915372097,0.6385584770213859
Microglia,ENSMUSG00000059182,Skap2,0.6284779050736498,2.501096751661382,0.6373961616468713
Microglia,ENSMUSG00000052688,Rab7b,0.17921440261865793,0.4286984229746128,0.637064682654793
Microglia,ENSMUSG00000063506,Arhgap22,0.23240589198036007,0.6310773936340166,0.6352606041377955
Microglia,ENSMUSG00000026110,Mgat4a,0.41816693944353517,1.3846983676984495,0.6352137458995002
Microglia,ENSMUSG00000039087,Rreb1,0.6399345335515548,2.6622663525245613,0.63461581955697
Microglia,ENSMUSG00000024535,Snx24,0.5851063829787234,2.2151935093602044,0.6339968629259685
Microglia,ENSMUSG00000033066,Gas7,0.37643207855973815,1.1111499148724049,0.6323098303358569
Microglia,ENSMUSG00000022150,Dab2,0.3903436988543372,1.2801744889363014,0.6300946987844254
Microglia,ENSMUSG00000040723,Rcsd1,0.06382978723404255,0.1223613264620191,0.6297981482065798
Microglia,ENSMUSG00000074151,Nlrc5,0.058919803600654665,0.1140879358300321,0.6288984228334908
Microglia,ENSMUSG00000040855,Reps2,0.24549918166939444,0.7271480476086778,0.6277407207652455
Microglia,ENSMUSG00000037946,Fgd3,0.18248772504091654,0.415324187697029,0.6232182368873443
Microglia,ENSMUSG00000060477,Irak2,0.35106382978723405,1.0139549661904186,0.6213099832664277
Microglia,ENSMUSG00000030921,Trim30a,0.14811783960720132,0.34441125164527653,0.6210138774716301
Microglia,ENSMUSG00000032554,Trf,0.3314238952536825,0.952296238121387,0.6163399067564239
Microglia,ENSMUSG00000042349,Ikbke,0.10310965630114566,0.23946385024807806,0.6142068058801168
Microglia,ENSMUSG00000059456,Ptk2b,0.4157119476268412,1.2545548077665545,0.611353828663221
Microglia,ENSMUSG00000031103,Elf4,0.1988543371522095,0.49468908790361016,0.6092253954741744
Microglia,ENSMUSG00000033705,Stard9,0.29705400981996727,0.7759523935049183,0.606929414524394
Microglia,ENSMUSG00000032359,Ctsh,0.3436988543371522,0.8620900710353155,0.60556167880544165
Microglia,ENSMUSG00000044350,Lacc1,0.08101472995090016,0.1569270591067984,0.6053219977287839
Microglia,ENSMUSG00000015568,Lpl,0.22340425531914893,0.9552171011304489,0.6031609471666788
Microglia,ENSMUSG00000040466,Blvrb,0.1783960720130933,0.4350770581480199,0.6017687651205952
Microglia,ENSMUSG00000033740,St18,0.35433715220949263,1.4342403100236263,0.6013971930370248
Microglia,ENSMUSG00000028159,Dapp1,0.1260229132569558,0.2833344424260706,0.5998565221443912
Microglia,ENSMUSG00000073411,H2-D1,0.41898527004909986,1.3503686493343168,0.5977520545010284
